Team,Seed,Wins,Losses,Win Percentage,PD,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,Age,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Playoff,QF,SF,F,C
Utah Jazz,1,52,20,0.722,9.25,0.468,0.389,0.799,48.3,23.7,6.6,5.2,14.2,14.2,28.5,98.5,0.244,0.488,0.597,0.563,12.7,24.5,0.195,1,1,0,0,0
Phoenix Suns,2,51,21,0.708,5.82,0.49,0.378,0.834,42.9,26.9,7.2,4.3,12.5,12.5,26.6,97.2,0.212,0.392,0.597,0.564,11.5,20.8,0.177,1,1,1,1,0
Philadelphia 76ers,1,49,23,0.681,5.58,0.476,0.374,0.767,45.1,23.7,9.1,6.2,14.4,14.4,27.1,99.5,0.293,0.347,0.579,0.541,12.8,23.2,0.225,1,1,0,0,0
Brooklyn Nets,2,48,24,0.667,4.5,0.494,0.392,0.804,44.4,26.8,6.7,5.3,13.5,13.5,28.2,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,1,1,0,0,0
Los Angeles Clippers,4,47,25,0.653,6.18,0.482,0.411,0.839,44.2,24.4,7.1,4.1,13.2,13.2,28.8,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,1,1,1,0,0
Denver Nuggets,3,47,25,0.653,4.93,0.485,0.377,0.803,44.4,26.8,8.1,4.5,13.5,13.5,26.1,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,1,1,0,0,0
Milwaukee Bucks,3,46,26,0.639,5.89,0.487,0.389,0.76,48.1,25.5,8.1,4.6,13.8,13.8,28.1,102.2,0.233,0.404,0.593,0.566,12,23.3,0.177,1,1,1,1,1
Los Angeles Lakers,7,42,30,0.583,2.79,0.472,0.354,0.739,44.2,24.7,7.8,5.4,15.2,15.2,28.2,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,1,0,0,0,0
Dallas Mavericks,5,42,30,0.583,2.26,0.47,0.362,0.778,43.3,22.9,6.3,4.3,12.1,12.1,26.3,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,1,0,0,0,0
Portland Trail Blazers,6,42,30,0.583,1.79,0.453,0.385,0.823,44.5,21.3,6.9,5,11.1,11.1,27.4,98.4,0.238,0.448,0.577,0.54,9.9,23,0.195,1,0,0,0,0
New York Knicks,4,41,31,0.569,2.31,0.456,0.392,0.784,45.1,21.4,7,5.1,12.9,12.9,25.6,95.9,0.242,0.347,0.559,0.524,11.9,21.9,0.19,1,0,0,0,0
Atlanta Hawks,5,41,31,0.569,2.32,0.468,0.373,0.812,45.6,24.1,7,4.8,13.2,13.2,25.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,1,1,1,0,0
Miami Heat,6,40,32,0.556,0.03,0.468,0.358,0.79,41.5,26.3,7.9,4,14.1,14.1,27.4,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,1,0,0,0,0
Golden State Warriors,9,39,33,0.542,1.06,0.468,0.376,0.785,43,27.7,8.2,4.8,15,15,26.7,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0,0,0,0,0
Memphis Grizzlies,8,38,34,0.528,1.03,0.467,0.356,0.771,46.5,26.9,9.1,5.1,13.3,13.3,24.2,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,1,0,0,0,0
Boston Celtics,7,36,36,0.500,1.46,0.466,0.374,0.775,44.3,23.5,7.7,5.3,14.1,14.1,25.1,98.3,0.234,0.409,0.574,0.543,12.5,24.3,0.181,1,0,0,0,0
Indiana Pacers,9,34,38,0.472,-0.04,0.474,0.364,0.792,42.7,27.4,8.5,6.4,13.5,13.5,26.5,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0,0,0,0,0
Washington Wizards,8,34,38,0.472,-1.83,0.475,0.351,0.769,45.2,25.5,7.3,4.1,14.4,14.4,26.6,104.1,0.288,0.319,0.569,0.531,12.3,21.3,0.221,1,0,0,0,0
San Antonio Spurs,10,33,39,0.458,-1.74,0.462,0.35,0.792,43.9,24.4,7,5.1,11.4,11.4,26.2,98.9,0.243,0.314,0.554,0.517,10.2,20,0.192,0,0,0,0,0
Charlotte Hornets,10,33,39,0.458,-1.93,0.455,0.369,0.761,43.8,26.8,7.8,4.8,14.8,14.8,24.6,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0,0,0,0,0
New Orleans Pelicans,11,31,41,0.431,-0.29,0.477,0.348,0.729,47.4,26,7.6,4.4,14.6,14.6,24.8,100.1,0.293,0.342,0.57,0.537,12.7,26.3,0.214,0,0,0,0,0
Chicago Bulls,11,31,41,0.431,-0.89,0.476,0.37,0.791,45,26.8,6.7,4.2,15.1,15.1,25.6,99,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0,0,0,0,0
Sacramento Kings,12,31,41,0.431,-3.68,0.481,0.364,0.745,41.4,25.5,7.5,5,13.4,13.4,25.6,100,0.248,0.376,0.578,0.549,12,21.3,0.185,0,0,0,0,0
Toronto Raptors,12,27,45,0.375,-0.47,0.448,0.368,0.815,41.6,24.1,8.6,5.4,13.2,13.2,26.6,99.2,0.241,0.444,0.567,0.529,11.9,20.8,0.196,0,0,0,0,0
Minnesota Timberwolves,13,23,49,0.319,-5.56,0.448,0.349,0.761,43.5,25.6,8.8,5.5,14.3,14.3,23.2,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0,0,0,0,0
Cleveland Cavaliers,13,22,50,0.306,-8.44,0.45,0.336,0.743,42.8,23.8,7.8,4.5,15.5,15.5,24,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0,0,0,0,0
Oklahoma City Thunder,14,22,50,0.306,-10.64,0.441,0.339,0.725,45.6,22.1,7,4.4,16.1,16.1,22.8,101,0.242,0.399,0.539,0.509,14.2,21.2,0.176,0,0,0,0,0
Orlando Magic,14,21,51,0.292,-9.31,0.429,0.343,0.775,45.4,21.8,6.9,4.4,12.8,12.8,25.6,98.7,0.24,0.356,0.527,0.49,11.5,21.6,0.186,0,0,0,0,0
Detroit Pistons,15,20,52,0.278,-4.47,0.452,0.351,0.759,42.7,24.2,7.4,5.2,14.9,14.9,24.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0,0,0,0,0
