Team,Seed,Wins,Losses,Win Percentage,PD,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,Age,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Playoff,QF,SF,F,C
Phoenix Suns,1,64,18,0.780,7.5,0.485,0.364,0.797,45.3,27.4,8.6,4.4,12.9,19.9,27.5,99.8,0.221,0.354,0.581,0.549,11.6,22.3,0.176,1,1,0,0,0
Memphis Grizzlies,2,56,26,0.683,5.7,0.461,0.353,0.734,49.2,26,9.8,6.5,13.2,19.8,24,100.3,0.245,0.346,0.553,0.522,11.2,30,0.18,1,1,0,0,0
Golden State Warriors,3,53,29,0.646,5.5,0.469,0.364,0.769,45.5,27.1,8.8,4.5,14.9,21,27.6,98.4,0.235,0.456,0.582,0.552,13.5,22.8,0.181,1,1,1,1,1
Miami Heat,1,53,29,0.646,4.4,0.467,0.379,0.808,43.7,25.5,7.4,3.2,14.6,20.5,28.2,95.9,0.252,0.422,0.584,0.547,13.4,23.5,0.204,1,1,1,0,0
Dallas Mavericks,4,52,30,0.634,3.3,0.461,0.35,0.771,43,23.4,6.7,4,12.5,19.7,26.7,95.4,0.249,0.439,0.572,0.538,11.7,21.3,0.192,1,1,1,0,0
Boston Celtics,2,51,31,0.622,7.3,0.466,0.356,0.816,46.1,24.8,7.2,5.8,13.6,18.5,26.1,96.6,0.239,0.425,0.578,0.542,12.4,24,0.195,1,1,1,1,0
Milwaukee Bucks,3,51,31,0.622,3.4,0.468,0.366,0.776,46.7,23.9,7.6,4,13.4,18.2,28.5,99.9,0.257,0.43,0.58,0.546,11.9,23,0.199,1,1,0,0,0
Philadelphia 76ers,4,51,31,0.622,2.6,0.466,0.364,0.821,42.3,23.7,7.7,5.3,12.5,19.4,26.8,96.2,0.282,0.376,0.578,0.534,11.6,20.1,0.232,1,1,0,0,0
Utah Jazz,5,49,33,0.598,6,0.36,0.471,0.767,46.3,22.4,7.2,4.9,14,18.9,29.3,97.1,0.271,0.468,0.589,0.555,12.7,25.4,0.208,1,0,0,0,0
Denver Nuggets,6,48,34,0.585,2.3,0.483,0.353,0.795,44.1,27.8,7.2,3.7,14.5,20,27.7,97.8,0.244,0.416,0.59,0.556,13.2,21.9,0.194,1,0,0,0,0
Toronto Raptors,5,48,34,0.585,2.3,0.445,0.349,0.759,45.3,22.1,9,4.6,12.5,19.6,24.8,96,0.234,0.375,0.543,0.51,11,28.4,0.177,1,0,0,0,0
Minnesota Timberwolves,7,46,36,0.561,2.6,0.457,0.358,0.778,44.2,25.7,8.8,5.6,14.3,21.8,24.2,100.9,0.254,0.454,0.573,0.539,12.4,24.4,0.198,1,0,0,0,0
Chicago Bulls,6,46,36,0.561,-0.4,0.48,0.369,0.813,42.3,23.9,7.1,4.1,12.8,18.8,26.3,98.3,0.248,0.332,0.579,0.541,11.8,20.4,0.201,1,0,0,0,0
Brooklyn Nets,7,44,38,0.537,0.8,0.475,0.361,0.805,44.4,25.3,7.1,5.5,14.1,20.4,24.7,96.1,0.261,0.387,0.571,0.538,13.2,24,0.198,1,0,0,0,0
Cleveland Cavaliers,9,44,38,0.537,2.1,0.469,0.355,0.76,44.2,25.2,7.1,4.2,14.4,17.5,29.1,99,0.246,0.359,0.576,0.54,12.5,23.9,0.198,1,0,0,0,0
Atlanta Hawks,8,43,39,0.524,1.5,0.47,0.374,0.812,44,24.6,7.2,4.2,11.9,18.7,26.1,97.7,0.253,0.39,0.581,0.543,10.8,23,0.205,0,0,0,0,0
Charlotte Hornets,10,43,39,0.524,0.4,0.365,0.468,0.74,44.6,28.1,8.6,4.9,13.3,19.9,25.5,100,0.234,0.418,0.572,0.544,11.6,23.3,0.173,0,0,0,0,0
Los Angeles Clippers,9,42,40,0.512,0,0.458,0.374,0.793,44,24,7.4,5,13.7,18.6,27.5,98,0.224,0.391,0.564,0.531,12.5,20.6,0.178,1,0,0,0,0
New York Knicks,11,37,45,0.451,-0.1,0.437,0.357,0.744,46.1,21.9,7,4.9,13.3,20.4,26,95.9,0.28,0.428,0.55,0.513,12,25.1,0.208,0,0,0,0,0
