Team,Seed,Wins,Losses,Win Percentage,PD,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,PF,Age,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Playoff,QF,SF,F,C
Milwaukee Bucks,1,58,24,0.707,3.63,0.473,0.368,0.743,48.6,25.8,6.4,4.9,14.6,18.1,29.8,100.5,0.248,0.446,0.583,0.555,12.7,25,0.184,1,0,0,0,0
Boston Celtics,2,57,25,0.695,6.52,0.475,0.377,0.812,45.3,26.7,6.4,5.2,13.4,18.8,27.4,98.5,0.243,0.48,0.6,0.566,12,22.1,0.197,1,1,0,0,0
Philadelphia 76ers,3,54,28,0.659,4.32,0.487,0.387,0.835,40.9,25.2,7.7,4.7,13.7,20.4,28.2,96.9,0.3,0.389,0.608,0.563,12.6,21.6,0.25,1,1,0,0,0
Denver Nuggets,1,53,29,0.646,3.33,0.504,0.379,0.751,43,28.9,7.5,4.5,14.5,18.6,26.6,98.1,0.259,0.361,0.601,0.573,13.1,24.8,0.194,1,1,0,0,0
Cleveland Cavaliers,4,51,31,0.622,5.38,0.488,0.367,0.78,41.1,24.9,7.1,4.7,13.3,19,25.4,95.7,0.264,0.371,0.59,0.556,12.3,23.6,0.206,1,0,0,0,0
Memphis Grizzlies,2,51,31,0.622,3.94,0.475,0.351,0.733,46.6,26,8.3,5.8,13.6,20,24.4,101.1,0.259,0.372,0.57,0.54,11.7,26.5,0.19,1,0,0,0,0
Sacramento Kings,3,48,34,0.585,2.65,0.494,0.369,0.79,42.5,27.3,7,3.4,13.5,19.7,25.4,100.3,0.284,0.423,0.608,0.572,12,22.7,0.225,1,0,0,0,0
New York Knicks,5,47,35,0.573,2.93,0.47,0.354,0.761,46.6,22.9,6.4,4.1,13,20.3,24.5,97.1,0.285,0.4,0.577,0.541,11.4,28.3,0.217,1,1,0,0,0
Phoenix Suns,4,45,37,0.549,2.07,0.467,0.374,0.793,44.2,27.3,7.1,5.3,13.5,21.2,28.1,98.2,0.241,0.362,0.57,0.535,12,26.6,0.191,1,1,0,0,0
Brooklyn Nets,6,45,37,0.549,0.85,0.487,0.378,0.8,40.5,25.5,7.1,6.2,13.7,21.1,28,98.3,0.26,0.397,0.598,0.562,12.7,19.6,0.208,1,0,0,0,0
Golden State Warriors,6,44,38,0.537,1.8,0.479,0.385,0.794,44.6,29.8,7.2,3.9,16.3,21.4,27.3,101.6,0.224,0.479,0.6,0.571,14.1,24.4,0.178,1,1,0,0,0
Los Angeles Clippers,5,44,38,0.537,0.5,0.477,0.381,0.781,43.2,23.9,7.1,4.4,14.2,19.5,29.7,98,0.278,0.387,0.588,0.551,12.8,22.9,0.217,1,0,0,0,0
Miami Heat,8,44,38,0.537,-0.32,0.46,0.344,0.831,40.6,23.8,8,3,13.5,18.5,27.7,96.3,0.27,0.408,0.574,0.53,12.4,22.8,0.224,1,1,0,0,0
Los Angeles Lakers,7,43,39,0.524,0.57,0.482,0.346,0.775,45.7,25.3,6.4,4.6,14.1,17.9,27.9,101.3,0.299,0.351,0.582,0.542,12.3,22.8,0.232,1,1,0,0,0
New Orleans Pelicans,9,42,40,0.512,1.89,0.48,0.364,0.793,43.7,25.9,8.3,4.1,14.6,20.5,25.9,99.1,0.279,0.344,0.582,0.543,12.9,24.7,0.221,0,0,0,0,0
Minnesota Timberwolves,8,42,40,0.512,-0.04,0.49,0.365,0.755,41.9,26.2,8,5.4,15.3,21.6,25.8,101,0.271,0.381,0.592,0.56,13.6,21.5,0.205,1,0,0,0,0
Toronto Raptors,9,41,41,0.500,1.48,0.459,0.335,0.784,43,23.9,9.4,5.2,11.7,20,25.8,97.1,0.257,0.351,0.555,0.517,10.3,27.8,0.201,0,0,0,0,0
Atlanta Hawks,7,41,41,0.500,0.29,0.483,0.352,0.818,44.4,25,7.1,4.9,12.9,18.8,24.9,100.7,0.244,0.331,0.579,0.541,11.2,25.1,0.2,1,0,0,0,0
Chicago Bulls,10,40,42,0.488,1.29,0.49,0.361,0.809,42.4,24.5,7.9,4.5,13.4,18.9,27.5,98.5,0.251,0.333,0.587,0.55,12.2,20.1,0.203,0,0,0,0,0
Oklahoma City Thunder,10,40,42,0.488,1.09,0.465,0.356,0.809,43.6,24.4,8.2,4.2,13,21,22.8,101.1,0.256,0.369,0.57,0.531,11.2,24.7,0.207,0,0,0,0,0
Dallas Mavericks,11,38,44,0.463,0.07,0.475,0.371,0.755,38.8,22.9,6.3,3.7,12.2,20.7,27.8,96.6,0.298,0.487,0.599,0.565,11.4,18,0.225,0,0,0,0,0
