Rank,Release,Max Theaters,Opening,Budget (millions),Year,Tickets Sold (that year),Distributor,Critic Ratings,User Ratings,IsSequel,IsMarvel,IsAvengers,IsSpiderman,IsBlackPanther,IsThor,IsIronMan,IsGalaxy,IsAmerica,IsAnt,IsDoctor
0,The Marvels,4406,,275,2023,901469391,Walt Disney Studios Motion Pictures,,,1,1,0,0,0,0,0,0,0,0,0
1,Avengers: Endgame,4662,357115007,356,2019,1228896463,Walt Disney Studios Motion Pictures,0.94,0.9,1,0,1,0,0,0,0,0,0,0,0
2,Spider-Man: No Way Home,4336,260138569,200,2021,434113718,Sony Pictures Entertainment (SPE),0.93,0.98,1,0,0,1,0,0,0,0,0,0,0
3,Avengers: Infinity War,4474,257698183,316,2018,1311292418,Walt Disney Studios Motion Pictures,0.85,0.92,1,0,1,0,0,0,0,0,0,0,0
4,The Avengers,4349,207438708,220,2012,1382831536,Walt Disney Studios Motion Pictures,0.91,0.91,0,0,1,0,0,0,0,0,0,0,0
5,Black Panther,4084,202003951,200,2018,1311292418,Walt Disney Studios Motion Pictures,0.96,0.79,0,0,0,0,1,0,0,0,0,0,0
6,Avengers: Age of Ultron,4276,191271109,365,2015,1323277802,Walt Disney Studios Motion Pictures,0.76,0.82,1,0,1,0,0,0,0,0,0,0,0
7,Doctor Strange in the Multiverse of Madness,4534,187420998,295,2022,705533941,Walt Disney Studios Motion Pictures,0.73,0.85,1,0,0,0,0,0,0,0,0,0,1
8,Black Panther: Wakanda Forever,4396,181339761,200,2022,705533941,Walt Disney Studios Motion Pictures,0.84,0.94,1,0,0,0,1,0,0,0,0,0,0
9,Captain America: Civil War,4226,179139142,250,2016,1302556430,Walt Disney Studios Motion Pictures,0.91,0.89,1,0,0,0,0,0,0,0,1,0,0
10,Iron Man 3,4253,174144585,200,2013,1339166092,Walt Disney Studios Motion Pictures,0.79,0.78,1,0,0,0,0,0,1,0,0,0,0
11,Captain Marvel,4310,153433423,152,2019,1228896463,Walt Disney Studios Motion Pictures,0.79,0.45,0,1,0,0,0,0,0,0,0,0,0
12,Guardians of the Galaxy Vol. 2,4347,146510104,250,2017,1225632177,Walt Disney Studios Motion Pictures,0.85,0.87,1,0,0,0,0,0,0,0,0,0,0
13,Thor: Love and Thunder,4375,144165107,250,2022,705533941,Walt Disney Studios Motion Pictures,0.63,0.77,1,0,0,0,0,1,0,0,0,0,0
14,Iron Man 2,4390,128122480,200,2010,1328787540,Paramount Pictures,0.72,0.71,1,0,0,0,0,0,1,0,0,0,0
15,Thor: Ragnarok,4080,122744989,180,2017,1225632177,Walt Disney Studios Motion Pictures,0.93,0.87,1,0,0,0,0,1,0,0,0,0,0
16,Guardians of the Galaxy Vol. 3,4450,118414021,250,2023,901469391,Walt Disney Studios Motion Pictures,0.82,0.94,1,0,0,0,0,0,0,0,0,0,0
17,Spider-Man: Homecoming,4348,117027503,175,2017,1225632177,Sony Pictures Entertainment (SPE),0.92,0.87,0,0,0,1,0,0,0,0,0,0,0
18,Ant-Man and the Wasp: Quantumania,4345,106109650,200,2023,901469391,Walt Disney Studios Motion Pictures,0.46,0.82,1,0,0,0,0,0,0,0,0,1,0
19,Iron Man,4154,98618668,140,2008,1328787540,Paramount Pictures,0.94,0.91,0,0,0,0,0,0,1,0,0,0,0
20,Captain America: The Winter Soldier,3938,95023721,170,2014,1257281692,Walt Disney Studios Motion Pictures,0.9,0.92,1,0,0,0,0,0,0,0,1,0,0
21,Guardians of the Galaxy,4088,94320883,170,2014,1257281692,Walt Disney Studios Motion Pictures,0.92,0.92,0,0,0,0,0,0,0,0,0,0,0
22,Spider-Man: Far from Home,4634,92579212,160,2019,1228896463,Sony Pictures Entertainment (SPE),0.9,0.95,1,0,0,1,0,0,0,0,0,0,0
23,Thor: The Dark World,3841,85737841,150,2013,1339166092,Walt Disney Studios Motion Pictures,0.67,0.75,1,0,0,0,0,1,0,0,0,0,0
24,Doctor Strange,3882,85058311,165,2016,1302556430,Walt Disney Studios Motion Pictures,0.89,0.86,0,0,0,0,0,0,0,0,0,0,1
25,Black Widow,4275,80366312,289,2021,434113718,Walt Disney Studios Motion Pictures,0.79,0.91,0,0,0,0,0,0,0,0,0,0,0
26,Ant-Man and the Wasp,4206,75812205,162,2018,1311292418,Walt Disney Studios Motion Pictures,0.87,0.8,1,0,0,0,0,0,0,0,0,1,0
27,Shang-Chi and the Legend of the Ten Rings,4300,75388688,150,2021,434113718,Walt Disney Studios Motion Pictures,0.92,0.98,0,0,0,0,0,0,0,0,0,0,0
28,Eternals,4090,71297219,240,2021,434113718,Walt Disney Studios Motion Pictures,0.47,0.77,0,0,0,0,0,0,0,0,0,0,0
29,Thor,3963,65723338,150,2011,1282915421,Paramount Pictures,0.77,0.76,0,0,0,0,0,1,0,0,0,0,0
30,Captain America: The First Avenger,3715,65058524,140,2011,1282915421,Paramount Pictures,0.8,0.75,0,0,0,0,0,0,0,0,1,0,0
31,Ant-Man,3868,57225526,130,2015,1323277802,Walt Disney Studios Motion Pictures,0.83,0.85,1,0,0,0,0,0,0,0,0,1,0
32,The Incredible Hulk,3508,55414050,150,2008,1328787540,Universal Pictures,0.67,0.69,0,0,0,0,0,0,0,0,0,0,0
